GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Category
GO:0030193	0.00618305336011174	41.6558139534884	0.138628620102215	2	3	Regulation of Blood Coagulation	outliers
GO:0061041	0.00618305336011174	41.6558139534884	0.138628620102215	2	3	Regulation of Wound Healing	outliers
GO:0072599	0.00664599264668795	10.4509345794393	0.415885860306644	3	9	Establishment of Protein Localization to Endoplasmic Reticulum	outliers
GO:0006612	0.00664599264668795	10.4509345794393	0.415885860306644	3	9	Protein Targeting to Membrane	outliers
GO:0006613	0.00664599264668795	10.4509345794393	0.415885860306644	3	9	Cotranslational Protein Targeting to Membrane	outliers
GO:0006614	0.00664599264668795	10.4509345794393	0.415885860306644	3	9	Srp-dependent Cotranslational Protein Targeting to Membrane	outliers
GO:0045047	0.00664599264668795	10.4509345794393	0.415885860306644	3	9	Protein Targeting to Er	outliers
GO:0033365	0.00963157076404923	4.37794811320755	1.34007666098807	5	29	Protein Localization to Organelle	outliers
GO:0006959	0.0119899295590675	20.8232558139535	0.184838160136286	2	4	Humoral Immune Response	outliers
GO:0042127	0.0119899295590675	20.8232558139535	0.184838160136286	2	4	Regulation of Cell Population Proliferation	outliers
GO:0050818	0.0119899295590675	20.8232558139535	0.184838160136286	2	4	Regulation of Coagulation	outliers
GO:0070972	0.0121895699224302	7.83469626168224	0.508304940374787	3	11	Protein Localization to Endoplasmic Reticulum	outliers
GO:0002684	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Positive Regulation of Immune System Process	outliers
GO:0006633	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Fatty Acid Biosynthetic Process	outliers
GO:0000077	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Dna Damage Checkpoint Signaling	outliers
GO:0031570	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Dna Integrity Checkpoint Signaling	outliers
GO:0043648	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Dicarboxylic Acid Metabolic Process	outliers
GO:0002253	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Activation of Immune Response	outliers
GO:0008283	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Cell Population Proliferation	outliers
GO:0050778	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Positive Regulation of Immune Response	outliers
GO:0042770	0.0193776490085489	13.8790697674419	0.231047700170358	2	5	Signal Transduction in Response to Dna Damage	outliers
GO:0016072	0.022754120729359	4.1868544600939	1.10902896081772	4	24	Rrna Metabolic Process	outliers
GO:0006364	0.022754120729359	4.1868544600939	1.10902896081772	4	24	Rrna Processing	outliers
GO:0072657	0.0242779171948611	5.69413763806287	0.646933560477002	3	14	Protein Localization to Membrane	outliers
GO:0090150	0.0242779171948611	5.69413763806287	0.646933560477002	3	14	Establishment of Protein Localization to Membrane	outliers
GO:0170035	0.0281890517627267	10.406976744186	0.277257240204429	2	6	L-amino Acid Catabolic Process	outliers
GO:0009074	0.0281890517627267	10.406976744186	0.277257240204429	2	6	Aromatic Amino Acid Family Catabolic Process	outliers
GO:0032101	0.0281890517627267	10.406976744186	0.277257240204429	2	6	Regulation of Response to External Stimulus	outliers
GO:0051668	0.0293357021473036	5.21845794392523	0.693143100511073	3	15	Localization Within Membrane	outliers
GO:0010608	0.0349048093521811	4.81595974119339	0.739352640545145	3	16	Post-transcriptional Regulation of Gene Expression	outliers
GO:0071103	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Dna Conformation Change	outliers
GO:0000956	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Nuclear-transcribed Mrna Catabolic Process	outliers
GO:0072330	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Monocarboxylic Acid Biosynthetic Process	outliers
GO:0032482	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Rab Protein Signal Transduction	outliers
GO:0006417	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Regulation of Translation	outliers
GO:0006265	0.0382780139780647	8.32372093023256	0.323466780238501	2	7	Dna Topological Change	outliers
